"Period","Direction","Passenger_type","Count"
200811,"Arrival","NZ Resident",152023
200811,"Arrival","Overseas visitor",219313
200811,"Arrival","PLT",7046
200811,"Departure","NZ Resident",155231
200811,"Departure","Overseas visitor",199499
200811,"Departure","PLT",6006
200811,"Net migration","PLT",1040
200812,"Arrival","NZ Resident",111024
200812,"Arrival","Overseas visitor",322207
200812,"Arrival","PLT",7566
200812,"Departure","NZ Resident",187329
200812,"Departure","Overseas visitor",214008
200812,"Departure","PLT",7427
200812,"Net migration","PLT",139
200901,"Arrival","NZ Resident",191892
200901,"Arrival","Overseas visitor",244030
200901,"Arrival","PLT",9674
200901,"Departure","NZ Resident",105115
200901,"Departure","Overseas visitor",317491
200901,"Departure","PLT",8470
200901,"Net migration","PLT",1204
200902,"Arrival","NZ Resident",122527
200902,"Arrival","Overseas visitor",256559
200902,"Arrival","PLT",9759
200902,"Departure","NZ Resident",96678
200902,"Departure","Overseas visitor",244074
200902,"Departure","PLT",6177
200902,"Net migration","PLT",3582
200903,"Arrival","NZ Resident",122973
200903,"Arrival","Overseas visitor",226461
200903,"Arrival","PLT",6617
200903,"Departure","NZ Resident",126721
200903,"Departure","Overseas visitor",271397
200903,"Departure","PLT",6304
200903,"Net migration","PLT",313
200904,"Arrival","NZ Resident",149241
200904,"Arrival","Overseas visitor",195883
200904,"Arrival","PLT",5975
200904,"Departure","NZ Resident",162384
200904,"Departure","Overseas visitor",224810
200904,"Departure","PLT",5549
200904,"Net migration","PLT",426
200905,"Arrival","NZ Resident",145046
200905,"Arrival","Overseas visitor",141916
200905,"Arrival","PLT",5785
200905,"Departure","NZ Resident",163686
200905,"Departure","Overseas visitor",165006
200905,"Departure","PLT",5058
200905,"Net migration","PLT",727
200906,"Arrival","NZ Resident",157359
200906,"Arrival","Overseas visitor",135162
200906,"Arrival","PLT",5746
200906,"Departure","NZ Resident",176313
200906,"Departure","Overseas visitor",130848
200906,"Departure","PLT",5016
200906,"Net migration","PLT",730
200907,"Arrival","NZ Resident",206275
200907,"Arrival","Overseas visitor",176198
200907,"Arrival","PLT",8101
200907,"Departure","NZ Resident",198367
200907,"Departure","Overseas visitor",169281
200907,"Departure","PLT",5432
200907,"Net migration","PLT",2669
200908,"Arrival","NZ Resident",185281
200908,"Arrival","Overseas visitor",161100
200908,"Arrival","PLT",6470
200908,"Departure","NZ Resident",176320
200908,"Departure","Overseas visitor",177050
200908,"Departure","PLT",4851
200908,"Net migration","PLT",1619
200909,"Arrival","NZ Resident",175059
200909,"Arrival","Overseas visitor",172425
200909,"Arrival","PLT",7142
200909,"Departure","NZ Resident",193267
200909,"Departure","Overseas visitor",155152
200909,"Departure","PLT",4035
200909,"Net migration","PLT",3107
200910,"Arrival","NZ Resident",215931
200910,"Arrival","Overseas visitor",187372
200910,"Arrival","PLT",6820
200910,"Departure","NZ Resident",176482
200910,"Departure","Overseas visitor",177310
200910,"Departure","PLT",3816
200910,"Net migration","PLT",3004
200911,"Arrival","NZ Resident",154893
200911,"Arrival","Overseas visitor",219939
200911,"Arrival","PLT",6878
200911,"Departure","NZ Resident",158441
200911,"Departure","Overseas visitor",198512
200911,"Departure","PLT",4377
200911,"Net migration","PLT",2501
200912,"Arrival","NZ Resident",109170
200912,"Arrival","Overseas visitor",341337
200912,"Arrival","PLT",7443
200912,"Departure","NZ Resident",184542
200912,"Departure","Overseas visitor",222549
200912,"Departure","PLT",6072
200912,"Net migration","PLT",1371
201001,"Arrival","NZ Resident",192658
201001,"Arrival","Overseas visitor",256652
201001,"Arrival","PLT",9274
201001,"Departure","NZ Resident",106787
201001,"Departure","Overseas visitor",343330
201001,"Departure","PLT",6735
201001,"Net migration","PLT",2539
201002,"Arrival","NZ Resident",123613
201002,"Arrival","Overseas visitor",267855
201002,"Arrival","PLT",8593
201002,"Departure","NZ Resident",104009
201002,"Departure","Overseas visitor",260096
201002,"Departure","PLT",5981
201002,"Net migration","PLT",2612
201003,"Arrival","NZ Resident",128168
201003,"Arrival","Overseas visitor",243263
201003,"Arrival","PLT",6109
201003,"Departure","NZ Resident",142732
201003,"Departure","Overseas visitor",274596
201003,"Departure","PLT",6441
201003,"Net migration","PLT",-332
201004,"Arrival","NZ Resident",157862
201004,"Arrival","Overseas visitor",187962
201004,"Arrival","PLT",5259
201004,"Departure","NZ Resident",162996
201004,"Departure","Overseas visitor",231443
201004,"Departure","PLT",5852
201004,"Net migration","PLT",-593
201005,"Arrival","NZ Resident",152032
201005,"Arrival","Overseas visitor",141336
201005,"Arrival","PLT",5015
201005,"Departure","NZ Resident",165397
201005,"Departure","Overseas visitor",170603
201005,"Departure","PLT",6275
201005,"Net migration","PLT",-1260
201006,"Arrival","NZ Resident",164159
201006,"Arrival","Overseas visitor",145825
201006,"Arrival","PLT",5201
201006,"Departure","NZ Resident",198835
201006,"Departure","Overseas visitor",133652
201006,"Departure","PLT",5934
201006,"Net migration","PLT",-733
201007,"Arrival","NZ Resident",219688
201007,"Arrival","Overseas visitor",182904
201007,"Arrival","PLT",7685
201007,"Departure","NZ Resident",207992
201007,"Departure","Overseas visitor",178963
201007,"Departure","PLT",6299
201007,"Net migration","PLT",1386
201008,"Arrival","NZ Resident",191401
201008,"Arrival","Overseas visitor",168081
201008,"Arrival","PLT",6687
201008,"Departure","NZ Resident",180155
201008,"Departure","Overseas visitor",186408
201008,"Departure","PLT",5782
201008,"Net migration","PLT",905
201009,"Arrival","NZ Resident",184216
201009,"Arrival","Overseas visitor",174157
201009,"Arrival","PLT",7448
201009,"Departure","NZ Resident",209995
201009,"Departure","Overseas visitor",153187
201009,"Departure","PLT",4934
201009,"Net migration","PLT",2514
201010,"Arrival","NZ Resident",232255
201010,"Arrival","Overseas visitor",184898
201010,"Arrival","PLT",7116
201010,"Departure","NZ Resident",180588
201010,"Departure","Overseas visitor",180547
201010,"Departure","PLT",5416
201010,"Net migration","PLT",1700
201011,"Arrival","NZ Resident",155364
201011,"Arrival","Overseas visitor",226455
201011,"Arrival","PLT",6857
201011,"Departure","NZ Resident",160847
201011,"Departure","Overseas visitor",205821
201011,"Departure","PLT",5447
201011,"Net migration","PLT",1410
201012,"Arrival","NZ Resident",121384
201012,"Arrival","Overseas visitor",345656
201012,"Arrival","PLT",7225
201012,"Departure","NZ Resident",205960
201012,"Departure","Overseas visitor",221729
201012,"Departure","PLT",6922
201012,"Net migration","PLT",303
201101,"Arrival","NZ Resident",207437
201101,"Arrival","Overseas visitor",265553
201101,"Arrival","PLT",9238
201101,"Departure","NZ Resident",117700
201101,"Departure","Overseas visitor",352027
201101,"Departure","PLT",8461
201101,"Net migration","PLT",777
201102,"Arrival","NZ Resident",129860
201102,"Arrival","Overseas visitor",268259
201102,"Arrival","PLT",8932
201102,"Departure","NZ Resident",103521
201102,"Departure","Overseas visitor",263970
201102,"Departure","PLT",6760
201102,"Net migration","PLT",2172
201103,"Arrival","NZ Resident",131825
201103,"Arrival","Overseas visitor",215553
201103,"Arrival","PLT",6352
201103,"Departure","NZ Resident",143105
201103,"Departure","Overseas visitor",266269
201103,"Departure","PLT",8379
201103,"Net migration","PLT",-2027
201104,"Arrival","NZ Resident",157388
201104,"Arrival","Overseas visitor",197777
201104,"Arrival","PLT",5700
201104,"Departure","NZ Resident",182568
201104,"Departure","Overseas visitor",218384
201104,"Departure","PLT",7339
201104,"Net migration","PLT",-1639
201105,"Arrival","NZ Resident",179063
201105,"Arrival","Overseas visitor",140741
201105,"Arrival","PLT",5340
201105,"Departure","NZ Resident",181850
201105,"Departure","Overseas visitor",174076
201105,"Departure","PLT",7483
201105,"Net migration","PLT",-2143
201106,"Arrival","NZ Resident",168694
201106,"Arrival","Overseas visitor",131269
201106,"Arrival","PLT",5436
201106,"Departure","NZ Resident",192415
201106,"Departure","Overseas visitor",126431
201106,"Departure","PLT",6927
201106,"Net migration","PLT",-1491
201107,"Arrival","NZ Resident",227214
201107,"Arrival","Overseas visitor",176084
201107,"Arrival","PLT",8314
201107,"Departure","NZ Resident",231600
201107,"Departure","Overseas visitor",173471
201107,"Departure","PLT",7928
201107,"Net migration","PLT",386
201108,"Arrival","NZ Resident",213975
201108,"Arrival","Overseas visitor",175909
201108,"Arrival","PLT",7129
201108,"Departure","NZ Resident",191023
201108,"Departure","Overseas visitor",181404
201108,"Departure","PLT",6834
201108,"Net migration","PLT",295
201109,"Arrival","NZ Resident",175919
201109,"Arrival","Overseas visitor",219940
201109,"Arrival","PLT",7162
201109,"Departure","NZ Resident",167367
201109,"Departure","Overseas visitor",178348
201109,"Departure","PLT",6132
201109,"Net migration","PLT",1030
201110,"Arrival","NZ Resident",205249
201110,"Arrival","Overseas visitor",215902
201110,"Arrival","PLT",6587
201110,"Departure","NZ Resident",188069
201110,"Departure","Overseas visitor",238243
201110,"Departure","PLT",5763
201110,"Net migration","PLT",824
201111,"Arrival","NZ Resident",166552
201111,"Arrival","Overseas visitor",230292
201111,"Arrival","PLT",7027
201111,"Departure","NZ Resident",174555
201111,"Departure","Overseas visitor",210567
201111,"Departure","PLT",6082
201111,"Net migration","PLT",945
201112,"Arrival","NZ Resident",127356
201112,"Arrival","Overseas visitor",364165
201112,"Arrival","PLT",6970
201112,"Departure","NZ Resident",218882
201112,"Departure","Overseas visitor",232670
201112,"Departure","PLT",7954
201112,"Net migration","PLT",-984
201201,"Arrival","NZ Resident",224359
201201,"Arrival","Overseas visitor",266839
201201,"Arrival","PLT",8641
201201,"Departure","NZ Resident",129084
201201,"Departure","Overseas visitor",364362
201201,"Departure","PLT",9143
201201,"Net migration","PLT",-502
201202,"Arrival","NZ Resident",145388
201202,"Arrival","Overseas visitor",259083
201202,"Arrival","PLT",9288
201202,"Departure","NZ Resident",116391
201202,"Departure","Overseas visitor",261230
201202,"Departure","PLT",8050
201202,"Net migration","PLT",1238
201203,"Arrival","NZ Resident",137348
201203,"Arrival","Overseas visitor",239929
201203,"Arrival","PLT",6790
201203,"Departure","NZ Resident",152987
201203,"Departure","Overseas visitor",269751
201203,"Departure","PLT",8132
201203,"Net migration","PLT",-1342
201204,"Arrival","NZ Resident",178690
201204,"Arrival","Overseas visitor",195668
201204,"Arrival","PLT",5123
201204,"Departure","NZ Resident",183232
201204,"Departure","Overseas visitor",236509
201204,"Departure","PLT",7385
201204,"Net migration","PLT",-2262
201205,"Arrival","NZ Resident",158362
201205,"Arrival","Overseas visitor",140841
201205,"Arrival","PLT",5322
201205,"Departure","NZ Resident",179331
201205,"Departure","Overseas visitor",163556
201205,"Departure","PLT",7112
201205,"Net migration","PLT",-1790
201206,"Arrival","NZ Resident",173475
201206,"Arrival","Overseas visitor",151074
201206,"Arrival","PLT",6049
201206,"Departure","NZ Resident",221065
201206,"Departure","Overseas visitor",138175
201206,"Departure","PLT",7078
201206,"Net migration","PLT",-1029
201207,"Arrival","NZ Resident",246907
201207,"Arrival","Overseas visitor",173539
201207,"Arrival","PLT",7588
201207,"Departure","NZ Resident",205573
201207,"Departure","Overseas visitor",179638
201207,"Departure","PLT",7810
201207,"Net migration","PLT",-222
201208,"Arrival","NZ Resident",190103
201208,"Arrival","Overseas visitor",178298
201208,"Arrival","PLT",6674
201208,"Departure","NZ Resident",193456
201208,"Departure","Overseas visitor",188239
201208,"Departure","PLT",6698
201208,"Net migration","PLT",-24
201209,"Arrival","NZ Resident",197229
201209,"Arrival","Overseas visitor",179069
201209,"Arrival","PLT",7570
201209,"Departure","NZ Resident",208004
201209,"Departure","Overseas visitor",157417
201209,"Departure","PLT",5702
201209,"Net migration","PLT",1868
201210,"Arrival","NZ Resident",238230
201210,"Arrival","Overseas visitor",184200
201210,"Arrival","PLT",7293
201210,"Departure","NZ Resident",190059
201210,"Departure","Overseas visitor",188080
201210,"Departure","PLT",5508
201210,"Net migration","PLT",1785
201211,"Arrival","NZ Resident",161596
201211,"Arrival","Overseas visitor",232119
201211,"Arrival","PLT",7341
201211,"Departure","NZ Resident",173185
201211,"Departure","Overseas visitor",206009
201211,"Departure","PLT",5644
201211,"Net migration","PLT",1697
201212,"Arrival","NZ Resident",128022
201212,"Arrival","Overseas visitor",363959
201212,"Arrival","PLT",7576
201212,"Departure","NZ Resident",216782
201212,"Departure","Overseas visitor",232359
201212,"Departure","PLT",8158
201212,"Net migration","PLT",-582
201301,"Arrival","NZ Resident",223210
201301,"Arrival","Overseas visitor",260637
201301,"Arrival","PLT",9045
201301,"Departure","NZ Resident",120982
201301,"Departure","Overseas visitor",358994
201301,"Departure","PLT",8370
201301,"Net migration","PLT",675
201302,"Arrival","NZ Resident",131652
201302,"Arrival","Overseas visitor",281233
201302,"Arrival","PLT",9202
201302,"Departure","NZ Resident",110664
201302,"Departure","Overseas visitor",272559
201302,"Departure","PLT",6781
201302,"Net migration","PLT",2421
201303,"Arrival","NZ Resident",140703
201303,"Arrival","Overseas visitor",270740
201303,"Arrival","PLT",7243
201303,"Departure","NZ Resident",155875
201303,"Departure","Overseas visitor",290709
201303,"Departure","PLT",7238
201303,"Net migration","PLT",5
201304,"Arrival","NZ Resident",161244
201304,"Arrival","Overseas visitor",200583
201304,"Arrival","PLT",6314
201304,"Departure","NZ Resident",184859
201304,"Departure","Overseas visitor",255399
201304,"Departure","PLT",6342
201304,"Net migration","PLT",-28
201305,"Arrival","NZ Resident",182210
201305,"Arrival","Overseas visitor",153034
201305,"Arrival","PLT",5883
201305,"Departure","NZ Resident",182414
201305,"Departure","Overseas visitor",178123
201305,"Departure","PLT",6207
201305,"Net migration","PLT",-324
201306,"Arrival","NZ Resident",181861
201306,"Arrival","Overseas visitor",159485
201306,"Arrival","PLT",6506
201306,"Departure","NZ Resident",198800
201306,"Departure","Overseas visitor",148408
201306,"Departure","PLT",5870
201306,"Net migration","PLT",636
201307,"Arrival","NZ Resident",240793
201307,"Arrival","Overseas visitor",183718
201307,"Arrival","PLT",8628
201307,"Departure","NZ Resident",237048
201307,"Departure","Overseas visitor",189868
201307,"Departure","PLT",6188
201307,"Net migration","PLT",2440
201308,"Arrival","NZ Resident",211225
201308,"Arrival","Overseas visitor",189284
201308,"Arrival","PLT",7728
201308,"Departure","NZ Resident",205058
201308,"Departure","Overseas visitor",202103
201308,"Departure","PLT",5473
201308,"Net migration","PLT",2255
201309,"Arrival","NZ Resident",206645
201309,"Arrival","Overseas visitor",191056
201309,"Arrival","PLT",8428
201309,"Departure","NZ Resident",211407
201309,"Departure","Overseas visitor",173596
201309,"Departure","PLT",4234
201309,"Net migration","PLT",4194
201310,"Arrival","NZ Resident",241700
201310,"Arrival","Overseas visitor",194973
201310,"Arrival","PLT",8249
201310,"Departure","NZ Resident",193808
201310,"Departure","Overseas visitor",194523
201310,"Departure","PLT",4148
