"Period","Direction","Passenger_type","Count"
201310,"Net migration","PLT",4101
201311,"Arrival","NZ Resident",169504
201311,"Arrival","Overseas visitor",251060
201311,"Arrival","PLT",8225
201311,"Departure","NZ Resident",171335
201311,"Departure","Overseas visitor",224501
201311,"Departure","PLT",4540
201311,"Net migration","PLT",3685
201312,"Arrival","NZ Resident",134782
201312,"Arrival","Overseas visitor",381892
201312,"Arrival","PLT",8514
201312,"Departure","NZ Resident",221184
201312,"Departure","Overseas visitor",255768
201312,"Departure","PLT",6106
201312,"Net migration","PLT",2408
201401,"Arrival","NZ Resident",228202
201401,"Arrival","Overseas visitor",292446
201401,"Arrival","PLT",10241
201401,"Departure","NZ Resident",127842
201401,"Departure","Overseas visitor",379519
201401,"Departure","PLT",6368
201401,"Net migration","PLT",3873
201402,"Arrival","NZ Resident",143163
201402,"Arrival","Overseas visitor",301165
201402,"Arrival","PLT",10893
201402,"Departure","NZ Resident",116931
201402,"Departure","Overseas visitor",307038
201402,"Departure","PLT",5116
201402,"Net migration","PLT",5777
201403,"Arrival","NZ Resident",152432
201403,"Arrival","Overseas visitor",253561
201403,"Arrival","PLT",8386
201403,"Departure","NZ Resident",147981
201403,"Departure","Overseas visitor",306999
201403,"Departure","PLT",5489
201403,"Net migration","PLT",2897
201404,"Arrival","NZ Resident",165128
201404,"Arrival","Overseas visitor",224194
201404,"Arrival","PLT",7130
201404,"Departure","NZ Resident",199251
201404,"Departure","Overseas visitor",255892
201404,"Departure","PLT",4706
201404,"Net migration","PLT",2424
201405,"Arrival","NZ Resident",196231
201405,"Arrival","Overseas visitor",161355
201405,"Arrival","PLT",6946
201405,"Departure","NZ Resident",198225
201405,"Departure","Overseas visitor",191626
201405,"Departure","PLT",5239
201405,"Net migration","PLT",1707
201406,"Arrival","NZ Resident",189792
201406,"Arrival","Overseas visitor",162122
201406,"Arrival","PLT",7416
201406,"Departure","NZ Resident",206537
201406,"Departure","Overseas visitor",158518
201406,"Departure","PLT",4839
201406,"Net migration","PLT",2577
201407,"Arrival","NZ Resident",247393
201407,"Arrival","Overseas visitor",196856
201407,"Arrival","PLT",10239
201407,"Departure","NZ Resident",233140
201407,"Departure","Overseas visitor",196207
201407,"Departure","PLT",5094
201407,"Net migration","PLT",5145
201408,"Arrival","NZ Resident",217096
201408,"Arrival","Overseas visitor",188849
201408,"Arrival","PLT",9208
201408,"Departure","NZ Resident",208442
201408,"Departure","Overseas visitor",210203
201408,"Departure","PLT",4513
201408,"Net migration","PLT",4695
201409,"Arrival","NZ Resident",209771
201409,"Arrival","Overseas visitor",193329
201409,"Arrival","PLT",10021
201409,"Departure","NZ Resident",219737
201409,"Departure","Overseas visitor",172447
201409,"Departure","PLT",3896
201409,"Net migration","PLT",6125
201410,"Arrival","NZ Resident",254701
201410,"Arrival","Overseas visitor",210597
201410,"Arrival","PLT",9978
201410,"Departure","NZ Resident",206996
201410,"Departure","Overseas visitor",204831
201410,"Departure","PLT",3607
201410,"Net migration","PLT",6371
201411,"Arrival","NZ Resident",182726
201411,"Arrival","Overseas visitor",270408
201411,"Arrival","PLT",9866
201411,"Departure","NZ Resident",177810
201411,"Departure","Overseas visitor",250719
201411,"Departure","PLT",4029
201411,"Net migration","PLT",5837
201412,"Arrival","NZ Resident",136259
201412,"Arrival","Overseas visitor",402518
201412,"Arrival","PLT",8993
201412,"Departure","NZ Resident",230785
201412,"Departure","Overseas visitor",271384
201412,"Departure","PLT",5499
201412,"Net migration","PLT",3494
201501,"Arrival","NZ Resident",246806
201501,"Arrival","Overseas visitor",302432
201501,"Arrival","PLT",12446
201501,"Departure","NZ Resident",133772
201501,"Departure","Overseas visitor",404241
201501,"Departure","PLT",5698
201501,"Net migration","PLT",6748
201502,"Arrival","NZ Resident",143015
201502,"Arrival","Overseas visitor",343457
201502,"Arrival","PLT",11985
201502,"Departure","NZ Resident",123913
201502,"Departure","Overseas visitor",323134
201502,"Departure","PLT",4884
201502,"Net migration","PLT",7101
201503,"Arrival","NZ Resident",162966
201503,"Arrival","Overseas visitor",291784
201503,"Arrival","PLT",9561
201503,"Departure","NZ Resident",168168
201503,"Departure","Overseas visitor",349469
201503,"Departure","PLT",5510
201503,"Net migration","PLT",4051
201504,"Arrival","NZ Resident",198714
201504,"Arrival","Overseas visitor",237966
201504,"Arrival","PLT",7776
201504,"Departure","NZ Resident",202346
201504,"Departure","Overseas visitor",284485
201504,"Departure","PLT",4814
201504,"Net migration","PLT",2962
201505,"Arrival","NZ Resident",189138
201505,"Arrival","Overseas visitor",176697
201505,"Arrival","PLT",7603
201505,"Departure","NZ Resident",209408
201505,"Departure","Overseas visitor",211029
201505,"Departure","PLT",4887
201505,"Net migration","PLT",2716
201506,"Arrival","NZ Resident",201422
201506,"Arrival","Overseas visitor",176961
201506,"Arrival","PLT",7979
201506,"Departure","NZ Resident",220759
201506,"Departure","Overseas visitor",173591
201506,"Departure","PLT",4965
201506,"Net migration","PLT",3014
201507,"Arrival","NZ Resident",266351
201507,"Arrival","Overseas visitor",207984
201507,"Arrival","PLT",11716
201507,"Departure","NZ Resident",251238
201507,"Departure","Overseas visitor",212008
201507,"Departure","PLT",5191
201507,"Net migration","PLT",6525
201508,"Arrival","NZ Resident",232600
201508,"Arrival","Overseas visitor",202879
201508,"Arrival","PLT",9942
201508,"Departure","NZ Resident",218522
201508,"Departure","Overseas visitor",225502
201508,"Departure","PLT",4596
201508,"Net migration","PLT",5346
201509,"Arrival","NZ Resident",219293
201509,"Arrival","Overseas visitor",216984
201509,"Arrival","PLT",11037
201509,"Departure","NZ Resident",235623
201509,"Departure","Overseas visitor",191896
201509,"Departure","PLT",3968
201509,"Net migration","PLT",7069
201510,"Arrival","NZ Resident",271450
201510,"Arrival","Overseas visitor",229379
201510,"Arrival","PLT",11219
201510,"Departure","NZ Resident",217036
201510,"Departure","Overseas visitor",225584
201510,"Departure","PLT",3605
201510,"Net migration","PLT",7614
201511,"Arrival","NZ Resident",192971
201511,"Arrival","Overseas visitor",300521
201511,"Arrival","PLT",10634
201511,"Departure","NZ Resident",182427
201511,"Departure","Overseas visitor",275961
201511,"Departure","PLT",3615
201511,"Net migration","PLT",7019
201512,"Arrival","NZ Resident",144173
201512,"Arrival","Overseas visitor",444883
201512,"Arrival","PLT",10039
201512,"Departure","NZ Resident",245756
201512,"Departure","Overseas visitor",306822
201512,"Departure","PLT",5274
201512,"Net migration","PLT",4765
201601,"Arrival","NZ Resident",262570
201601,"Arrival","Overseas visitor",343446
201601,"Arrival","PLT",13472
201601,"Departure","NZ Resident",145708
201601,"Departure","Overseas visitor",444943
201601,"Departure","PLT",5743
201601,"Net migration","PLT",7729
201602,"Arrival","NZ Resident",159399
201602,"Arrival","Overseas visitor",373376
201602,"Arrival","PLT",13267
201602,"Departure","NZ Resident",127081
201602,"Departure","Overseas visitor",374813
201602,"Departure","PLT",4686
201602,"Net migration","PLT",8581
201603,"Arrival","NZ Resident",164752
201603,"Arrival","Overseas visitor",344387
201603,"Arrival","PLT",9385
201603,"Departure","NZ Resident",172848
201603,"Departure","Overseas visitor",375400
201603,"Departure","PLT",5106
201603,"Net migration","PLT",4279
201604,"Arrival","NZ Resident",194126
201604,"Arrival","Overseas visitor",256685
201604,"Arrival","PLT",8376
201604,"Departure","NZ Resident",217797
201604,"Departure","Overseas visitor",318687
201604,"Departure","PLT",4923
201604,"Net migration","PLT",3453
201605,"Arrival","NZ Resident",214781
201605,"Arrival","Overseas visitor",193643
201605,"Arrival","PLT",7762
201605,"Departure","NZ Resident",210628
201605,"Departure","Overseas visitor",236862
201605,"Departure","PLT",4724
201605,"Net migration","PLT",3038
201606,"Arrival","NZ Resident",214579
201606,"Arrival","Overseas visitor",196223
201606,"Arrival","PLT",8206
201606,"Departure","NZ Resident",239402
201606,"Departure","Overseas visitor",186902
201606,"Departure","PLT",4534
201606,"Net migration","PLT",3672
201607,"Arrival","NZ Resident",286053
201607,"Arrival","Overseas visitor",237872
201607,"Arrival","PLT",11656
201607,"Departure","NZ Resident",278222
201607,"Departure","Overseas visitor",242987
201607,"Departure","PLT",5206
201607,"Net migration","PLT",6450
201608,"Arrival","NZ Resident",247585
201608,"Arrival","Overseas visitor",221181
201608,"Arrival","PLT",9950
201608,"Departure","NZ Resident",235184
201608,"Departure","Overseas visitor",241243
201608,"Departure","PLT",4500
201608,"Net migration","PLT",5450
201609,"Arrival","NZ Resident",240404
201609,"Arrival","Overseas visitor",245089
201609,"Arrival","PLT",11676
201609,"Departure","NZ Resident",267938
201609,"Departure","Overseas visitor",207477
201609,"Departure","PLT",3772
201609,"Net migration","PLT",7904
201610,"Arrival","NZ Resident",294808
201610,"Arrival","Overseas visitor",260246
201610,"Arrival","PLT",11694
201610,"Departure","NZ Resident",231046
201610,"Departure","Overseas visitor",257694
201610,"Departure","PLT",3752
201610,"Net migration","PLT",7942
201611,"Arrival","NZ Resident",206046
201611,"Arrival","Overseas visitor",333598
201611,"Arrival","PLT",11174
201611,"Departure","NZ Resident",208397
201611,"Departure","Overseas visitor",297184
201611,"Departure","PLT",4083
201611,"Net migration","PLT",7091
201612,"Arrival","NZ Resident",156094
201612,"Arrival","Overseas visitor",494193
201612,"Arrival","PLT",10687
201612,"Departure","NZ Resident",281115
201612,"Departure","Overseas visitor",341731
201612,"Departure","PLT",5688
201612,"Net migration","PLT",4999
201701,"Arrival","NZ Resident",288306
201701,"Arrival","Overseas visitor",381068
201701,"Arrival","PLT",14457
201701,"Departure","NZ Resident",165673
201701,"Departure","Overseas visitor",478032
201701,"Departure","PLT",6011
201701,"Net migration","PLT",8446
201702,"Arrival","NZ Resident",184547
201702,"Arrival","Overseas visitor",380034
201702,"Arrival","PLT",13793
201702,"Departure","NZ Resident",147377
201702,"Departure","Overseas visitor",386317
201702,"Departure","PLT",5184
201702,"Net migration","PLT",8609
201703,"Arrival","NZ Resident",179276
201703,"Arrival","Overseas visitor",343799
201703,"Arrival","PLT",10087
201703,"Departure","NZ Resident",192234
201703,"Departure","Overseas visitor",395581
201703,"Departure","PLT",5209
201703,"Net migration","PLT",4878
201704,"Arrival","NZ Resident",221345
201704,"Arrival","Overseas visitor",311866
201704,"Arrival","PLT",8637
201704,"Departure","NZ Resident",244233
201704,"Departure","Overseas visitor",347567
201704,"Departure","PLT",5231
201704,"Net migration","PLT",3406
201705,"Arrival","NZ Resident",220392
201705,"Arrival","Overseas visitor",209170
201705,"Arrival","PLT",8386
201705,"Departure","NZ Resident",233063
201705,"Departure","Overseas visitor",256096
201705,"Departure","PLT",5269
201705,"Net migration","PLT",3117
201706,"Arrival","NZ Resident",224810
201706,"Arrival","Overseas visitor",230088
201706,"Arrival","PLT",9158
201706,"Departure","NZ Resident",261813
201706,"Departure","Overseas visitor",199756
201706,"Departure","PLT",5145
201706,"Net migration","PLT",4013
201707,"Arrival","NZ Resident",311944
201707,"Arrival","Overseas visitor",246945
201707,"Arrival","PLT",12390
201707,"Departure","NZ Resident",302412
201707,"Departure","Overseas visitor",266231
201707,"Departure","PLT",5843
201707,"Net migration","PLT",6547
201708,"Arrival","NZ Resident",258628
201708,"Arrival","Overseas visitor",233991
201708,"Arrival","PLT",10014
201708,"Departure","NZ Resident",252117
201708,"Departure","Overseas visitor",250732
201708,"Departure","PLT",4894
201708,"Net migration","PLT",5120
201709,"Arrival","NZ Resident",259036
201709,"Arrival","Overseas visitor",252746
201709,"Arrival","PLT",11121
201709,"Departure","NZ Resident",273569
201709,"Departure","Overseas visitor",217447
201709,"Departure","PLT",4303
201709,"Net migration","PLT",6818
201710,"Arrival","NZ Resident",319931
201710,"Arrival","Overseas visitor",270515
201710,"Arrival","PLT",11740
201710,"Departure","NZ Resident",263850
201710,"Departure","Overseas visitor",267072
201710,"Departure","PLT",4090
201710,"Net migration","PLT",7650
201711,"Arrival","NZ Resident",214488
201711,"Arrival","Overseas visitor",360136
201711,"Arrival","PLT",11073
201711,"Departure","NZ Resident",222971
201711,"Departure","Overseas visitor",319968
201711,"Departure","PLT",4322
201711,"Net migration","PLT",6751
201712,"Arrival","NZ Resident",167066
201712,"Arrival","Overseas visitor",513349
201712,"Arrival","PLT",10710
201712,"Departure","NZ Resident",300242
201712,"Departure","Overseas visitor",358750
201712,"Departure","PLT",6049
201712,"Net migration","PLT",4661
201801,"Arrival","NZ Resident",316840
201801,"Arrival","Overseas visitor",379228
201801,"Arrival","PLT",14889
201801,"Departure","NZ Resident",173745
201801,"Departure","Overseas visitor",489650
201801,"Departure","PLT",6312
201801,"Net migration","PLT",8577
201802,"Arrival","NZ Resident",176835
201802,"Arrival","Overseas visitor",423456
201802,"Arrival","PLT",12761
201802,"Departure","NZ Resident",151061
201802,"Departure","Overseas visitor",410212
201802,"Departure","PLT",5356
201802,"Net migration","PLT",7405
201803,"Arrival","NZ Resident",183140
201803,"Arrival","Overseas visitor",388327
201803,"Arrival","PLT",9966
201803,"Departure","NZ Resident",211316
201803,"Departure","Overseas visitor",419846
201803,"Departure","PLT",6047
201803,"Net migration","PLT",3919
201804,"Arrival","NZ Resident",235936
201804,"Arrival","Overseas visitor",283910
201804,"Arrival","PLT",8247
201804,"Departure","NZ Resident",243348
201804,"Departure","Overseas visitor",362422
201804,"Departure","PLT",5787
201804,"Net migration","PLT",2460
201805,"Arrival","NZ Resident",231669
201805,"Arrival","Overseas visitor",222079
201805,"Arrival","PLT",8140
201805,"Departure","NZ Resident",249871
201805,"Departure","Overseas visitor",257259
201805,"Departure","PLT",5818
201805,"Net migration","PLT",2322
201806,"Arrival","NZ Resident",244681
201806,"Arrival","Overseas visitor",212245
201806,"Arrival","PLT",8485
201806,"Departure","NZ Resident",288529
201806,"Departure","Overseas visitor",204327
201806,"Departure","PLT",5720
201806,"Net migration","PLT",2765
201807,"Arrival","NZ Resident",345136
201807,"Arrival","Overseas visitor",250523
201807,"Arrival","PLT",11863
201807,"Departure","NZ Resident",326481
201807,"Departure","Overseas visitor",249536
201807,"Departure","PLT",6532
201807,"Net migration","PLT",5331
201808,"Arrival","NZ Resident",284801
201808,"Arrival","Overseas visitor",246682
201808,"Arrival","PLT",10093
201808,"Departure","NZ Resident",279902
201808,"Departure","Overseas visitor",260998
201808,"Departure","PLT",5464
201808,"Net migration","PLT",4629
201809,"Arrival","NZ Resident",278617
201809,"Arrival","Overseas visitor",258155
201809,"Arrival","PLT",11015
201809,"Departure","NZ Resident",291060
201809,"Departure","Overseas visitor",221331
201809,"Departure","PLT",4752
201809,"Net migration","PLT",6263
201810,"Arrival","NZ Resident",326229
201810,"Arrival","Overseas visitor",283568
201810,"Arrival","PLT",10881
201810,"Departure","NZ Resident",262823
201810,"Departure","Overseas visitor",282564
201810,"Departure","PLT",4213
201810,"Net migration","PLT",6668
